Id,Sales
1,6048.8906
2,7563.9766
3,9252.583
4,7027.6445
5,6933.0703
6,5524.0527
7,7872.9683
8,8131.851
9,5640.3804
10,5710.248
11,6930.38
12,7524.0254
13,7010.281
14,8391.008
15,5827.778
16,4645.8755
17,5773.29
18,9568.741
19,10222.852
20,9783.613
21,7491.5693
22,4566.2207
23,5906.4526
24,4640.3496
25,8070.839
26,10638.685
27,9096.895
28,5700.0356
29,5256.415
30,4537.4834
31,5558.9746
32,10111.367
33,6824.112
34,5628.0273
35,5412.3384
36,7738.4717
37,3809.7375
38,6539.8677
39,4381.4614
40,6857.0303
41,6852.291
42,5778.804
43,7560.9546
44,6870.1543
45,4820.7383
46,6702.961
47,7572.7534
48,12400.691
49,6040.2954
50,8188.2
51,7172.0913
52,9341.948
53,6698.2705
54,9548.595
55,4768.048
56,5075.328
57,6205.454
58,5950.7793
59,9384.792
60,7940.576
61,5538.9185
62,7634.564
63,6748.8037
64,10447.729
65,4130.4727
66,12747.442
67,4937.761
68,5951.1655
69,7965.894
70,4913.325
71,6202.6675
72,6488.8994
73,7491.412
74,5602.7827
75,5674.825
76,7842.7607
77,7841.4146
78,7134.6387
79,4885.189
80,6779.7163
81,9604.708
82,6673.3975
83,4889.7754
84,6892.855
85,5760.7446
86,5911.3047
87,7327.8745
88,3917.349
89,7670.1045
90,6216.507
91,7171.7427
92,7389.11
93,4522.588
94,5799.8394
95,5419.4404
96,7731.3164
97,8144.6416
98,5048.093
99,4744.1714
100,7381.89
101,5836.3213
102,5961.97
103,7717.7837
104,6841.0996
105,7384.9673
106,5827.05
107,4662.627
108,6752.319
109,7942.462
110,8225.675
111,8375.458
112,8267.459
113,5821.3066
114,8717.882
115,5874.175
116,7385.0166
117,9060.711
118,6135.0127
119,9604.177
120,8268.618
121,7837.7812
122,6349.45
123,7217.418
124,7882.1865
125,6463.904
126,3877.8818
127,5470.98
128,7780.4736
129,5899.776
130,4764.6934
131,8077.661
132,6625.5073
133,5948.062
134,5899.9614
135,5156.02
136,7182.2764
137,7072.436
138,7131.5366
139,5651.1216
140,5661.279
141,6700.3022
142,3773.1963
143,6341.789
144,5406.849
145,8773.371
146,7214.2456
147,6279.7637
148,11707.922
149,5461.3726
150,5582.829
151,10335.842
152,7043.1973
153,8346.45
154,7390.639
155,5755.2314
156,6264.254
157,5606.62
158,7697.8115
159,10862.707
160,6068.999
161,3345.4531
162,4750.247
163,8359.379
164,9019.261
165,6381.2964
166,6822.583
167,4902.649
168,5203.1387
169,3135.1616
170,4977.1626
171,6095.0596
172,7138.8584
173,7036.8726
174,6705.4863
175,8146.5913
176,9426.305
177,7481.5166
178,5210.627
179,9021.059
180,10321.608
181,5976.184
182,7317.3994
183,5215.902
184,6527.5737
185,4279.8994
186,7297.287
187,5308.074
188,9223.263
189,7056.126
190,8575.867
191,7753.253
192,6539.8677
193,8752.395
194,18674.838
195,10880.291
196,5824.8833
197,3024.5564
198,6455.8706
199,8373.182
200,5896.0244
201,12539.905
202,18912.295
203,4208.6304
204,5309.1577
205,9202.133
206,5038.137
207,9109.178
208,6859.1626
209,7461.153
210,5088.632
211,6303.6865
212,6329.089
213,7482.18
214,9327.002
215,6623.593
216,5979.337
217,7038.356
218,5279.671
219,5406.622
220,7697.929
221,6010.272
222,5878.3833
223,7471.499
224,5864.3403
225,6071.6445
226,7400.2593
227,6883.494
228,8561.216
229,7031.62
230,7683.3633
231,6336.928
232,3820.2593
233,6330.1934
234,6940.559
235,6228.5234
236,4594.658
237,8723.246
238,7569.0786
239,9285.032
240,6948.4067
241,6001.663
242,5348.186
243,5130.0786
244,9866.377
245,5105.3774
246,7638.533
247,14492.5
248,7437.602
249,7989.2734
250,5732.116
251,4564.7407
252,7341.5566
253,4031.2285
254,6013.7065
255,10030.91
256,5676.936
257,16546.094
258,13200.468
259,4954.2134
260,7396.8936
261,5947.903
262,7019.8613
263,5954.237
264,11308.901
265,7961.1777
266,9593.558
267,4511.9814
268,7399.0312
269,5184.7324
270,8270.306
271,7040.5444
272,6106.2827
273,6579.2217
274,6400.1104
275,7908.223
276,9410.451
277,5973.814
278,9686.992
279,6873.11
280,9932.557
281,5640.8213
282,5478.6865
283,5870.708
284,10448.686
285,6509.974
286,7921.8403
287,6907.78
288,8697.843
289,4583.166
290,8338.836
291,6800.049
292,4082.53
293,13629.617
294,17695.842
295,6738.591
296,7115.307
297,9147.465
298,9825.531
299,10677.013
